Restaurant,Review,Vader_Score,Vader_Pos,Vader_Neg,Vader_Neu,Vader_Pred
Imperfecto Restro Lounge,"Great ambience and music, food was delicious",0.8316,0.609,0.0,0.391,Positive
Imperfecto Restro Lounge,Nice place but a bit overpriced,0.2263,0.322,0.0,0.678,Positive
Imperfecto Restro Lounge,Service was slow but food quality was good,0.5927,0.355,0.0,0.645,Positive
Imperfecto Restro Lounge,"Loved the vibe, perfect for evening hangout",0.8225,0.603,0.0,0.397,Positive
Imperfecto Restro Lounge,"Average experience, expected more",0.0,0.0,0.0,1.0,Neutral
Grill and Chill Majhitar,Amazing grilled chicken and quick service,0.5859,0.432,0.0,0.568,Positive
Grill and Chill Majhitar,Food was tasty but seating is limited,-0.3291,0.0,0.281,0.719,Negative
Grill and Chill Majhitar,Best place for snacks in Majhitar,0.6369,0.457,0.0,0.543,Positive
Grill and Chill Majhitar,"Service was okay, food was good",0.5859,0.545,0.0,0.455,Positive
Grill and Chill Majhitar,Affordable and tasty food,0.0,0.0,0.0,1.0,Neutral
Punjabi Kitchen,"Authentic Punjabi taste, loved the butter chicken",0.5994,0.394,0.0,0.606,Positive
Punjabi Kitchen,Too crowded but food is worth it,0.3291,0.281,0.0,0.719,Positive
Punjabi Kitchen,Service is slow during rush hours,0.0,0.0,0.0,1.0,Neutral
Punjabi Kitchen,Great quantity and reasonable price,0.6249,0.506,0.0,0.494,Positive
Punjabi Kitchen,"Food was average, nothing special",-0.3089,0.0,0.361,0.639,Negative
Coffee Break,Best coffee spot with great ambience,0.8519,0.675,0.0,0.325,Positive
Coffee Break,Nice place to relax with friends,0.8316,0.746,0.0,0.254,Positive
Coffee Break,Too noisy sometimes,-0.1779,0.0,0.459,0.541,Negative
Coffee Break,Loved the cold coffee and snacks,0.5994,0.438,0.0,0.562,Positive
Coffee Break,Good vibe but service could improve,0.7003,0.592,0.0,0.408,Positive
Flavour Of Spice,Delicious food and very clean place,0.7713,0.626,0.0,0.374,Positive
Flavour Of Spice,"Amazing taste, highly recommended",0.7089,0.747,0.0,0.253,Positive
Flavour Of Spice,Small place but great quality food,0.7684,0.531,0.0,0.469,Positive
Flavour Of Spice,Service was quick and friendly,0.4939,0.444,0.0,0.556,Positive
Flavour Of Spice,One of the best in Majhitar,0.6369,0.457,0.0,0.543,Positive
Rasoi Republic,Excellent homemade style food,0.5719,0.552,0.0,0.448,Positive
Rasoi Republic,Very limited menu but tasty,-0.1522,0.0,0.285,0.715,Negative
Rasoi Republic,Loved the simplicity and taste,0.5994,0.494,0.0,0.506,Positive
Rasoi Republic,Good for quick meals,0.4404,0.492,0.0,0.508,Positive
Rasoi Republic,"Decent food, nothing extraordinary",0.0,0.0,0.0,1.0,Neutral
Relax Point Restaurant cum Bar,Great place to chill with friends,0.802,0.643,0.0,0.357,Positive
Relax Point Restaurant cum Bar,Nice drinks and food options,0.4215,0.412,0.0,0.588,Positive
Relax Point Restaurant cum Bar,Music was too loud,0.0,0.0,0.0,1.0,Neutral
Relax Point Restaurant cum Bar,Service was slow,0.0,0.0,0.0,1.0,Neutral
Relax Point Restaurant cum Bar,Good ambience overall,0.4404,0.592,0.0,0.408,Positive
BITE & BREW,Good snacks and beverages,0.4404,0.492,0.0,0.508,Positive
BITE & BREW,Small place but cozy,0.0,0.0,0.0,1.0,Neutral
BITE & BREW,Food was average,0.0,0.0,0.0,1.0,Neutral
BITE & BREW,Nice place for quick bites,0.4215,0.412,0.0,0.588,Positive
BITE & BREW,Service could be better,0.4404,0.492,0.0,0.508,Positive
Down town Restro & Bar,Great nightlife experience,0.6249,0.672,0.0,0.328,Positive
Down town Restro & Bar,Food was tasty and drinks were good,0.4404,0.326,0.0,0.674,Positive
Down town Restro & Bar,Bit expensive but worth it,0.3291,0.37,0.0,0.63,Positive
Down town Restro & Bar,Service was slow,0.0,0.0,0.0,1.0,Neutral
Down town Restro & Bar,Loved the ambience,0.5994,0.661,0.0,0.339,Positive
Tashi Shaa-Khang Chinese Restaurant,Authentic Chinese taste,0.0,0.0,0.0,1.0,Neutral
Tashi Shaa-Khang Chinese Restaurant,Noodles were amazing,0.5859,0.655,0.0,0.345,Positive
Tashi Shaa-Khang Chinese Restaurant,Portion size was good,0.4404,0.492,0.0,0.508,Positive
Tashi Shaa-Khang Chinese Restaurant,Service was okay,0.2263,0.487,0.0,0.513,Positive
Tashi Shaa-Khang Chinese Restaurant,Nice place for Chinese food,0.4215,0.412,0.0,0.588,Positive
Biryani Kitchen Majhitar,Biryani was flavorful and tasty,0.0,0.0,0.0,1.0,Neutral
Biryani Kitchen Majhitar,Too oily for my taste,0.0,0.0,0.0,1.0,Neutral
Biryani Kitchen Majhitar,Good quantity and affordable,0.4404,0.492,0.0,0.508,Positive
Biryani Kitchen Majhitar,Average taste,0.0,0.0,0.0,1.0,Neutral
Biryani Kitchen Majhitar,Quick service and decent food,0.0,0.0,0.0,1.0,Neutral
Brunch Cafe,Perfect place for brunch,0.5719,0.552,0.0,0.448,Positive
Brunch Cafe,Loved the sandwiches and coffee,0.5994,0.494,0.0,0.506,Positive
Brunch Cafe,Nice ambience,0.4215,0.737,0.0,0.263,Positive
Brunch Cafe,Service was slow,0.0,0.0,0.0,1.0,Neutral
Brunch Cafe,Good food but slightly expensive,0.2382,0.328,0.0,0.672,Positive
Bliss N Taste,Tasty food and friendly staff,0.4939,0.444,0.0,0.556,Positive
Bliss N Taste,Nice place for family,0.4215,0.483,0.0,0.517,Positive
Bliss N Taste,Food was average,0.0,0.0,0.0,1.0,Neutral
Bliss N Taste,Clean and hygienic,0.4019,0.574,0.0,0.426,Positive
Bliss N Taste,Service needs improvement,0.4588,0.6,0.0,0.4,Positive
River View,Best view of the Teesta river while having dinner.,0.6369,0.344,0.0,0.656,Positive
River View,"The outdoor seating is amazing, very peaceful vibe.",0.807,0.549,0.0,0.451,Positive
River View,Food is good but you primarily go there for the location.,0.2382,0.163,0.0,0.837,Positive
River View,"Service was a bit slow on Sunday, but the scenery makes up for it.",0.0,0.0,0.0,1.0,Neutral
River View,Great place for a quiet evening near the water.,0.6249,0.369,0.0,0.631,Positive
Oasis,"Very clean and hygienic place, perfect for students.",0.7713,0.527,0.0,0.473,Positive
Oasis,Loved the variety of snacks and cold beverages.,0.5994,0.358,0.0,0.642,Positive
Oasis,Quick service and very friendly staff.,0.5413,0.411,0.0,0.589,Positive
Oasis,The interior is very modern and cozy.,0.0,0.0,0.0,1.0,Neutral
Oasis,Affordable prices for the quality they provide.,0.0,0.0,0.0,1.0,Neutral
Mana Cafe,"The best momos I have had in Majhitar, hands down.",0.6369,0.344,0.0,0.656,Positive
Mana Cafe,"Small, intimate setting with very authentic local taste.",0.0,0.0,0.0,1.0,Neutral
Mana Cafe,"Try their special tea, it is refreshing.",0.4019,0.31,0.0,0.69,Positive
Mana Cafe,"Great hospitality, the owner is very kind.",0.8313,0.609,0.0,0.391,Positive
Mana Cafe,Authentic flavors and very reasonable rates.,0.0,0.0,0.0,1.0,Neutral
